,APRexplained,ComplexCount,FinancetoComplex,Flesch,FleschKincaid,FogIndex,SentCount,SuperComplexCount,SuperFinancetoComplex,Terms,WordCount
0,0,380,0.1631578947368421,58.322377457965246,9.88777215730978,14.221145625534342,121,142,0.18309859154929578,302,2320
1,0,52,0.07692307692307693,71.39286641541042,7.421218592964824,11.859463986599664,24,13,0.0,42,398
2,0,130,0.16923076923076924,61.735568181818195,10.797045454545454,15.152525252525255,40,42,0.23809523809523808,133,990
3,0,64,0.15625,60.75754380841123,9.768954439252337,16.00007788161994,16,22,0.3181818181818182,34,321
4,0,262,0.2099236641221374,56.78001468712236,11.073258079316055,14.391837876549841,88,105,0.02857142857142857,362,2031
5,0,100,0.05,57.274476744186046,9.522848837209303,12.281294236602628,43,48,0.0,93,736
6,0,615,0.183739837398374,49.70980340211938,11.958872002230901,15.725782806150903,163,211,0.11374407582938388,314,3696
7,3,337,0.18991097922848665,64.61720967652444,8.23620179770294,12.687821117461022,134,95,0.10526315789473684,317,2152
8,0,103,0.06796116504854369,38.169666182873755,17.050817610062897,23.314239638767944,13,25,0.08,54,477
9,0,66,0.13636363636363635,68.99046855569375,7.773822170900694,12.758536152069638,26,17,0.23529411764705882,56,433
10,0,38,0.13157894736842105,74.60667906877858,7.270889762942492,10.82942489635378,23,13,0.23076923076923078,41,409
11,0,254,0.33858267716535434,53.843076959103115,13.205789189267087,16.98383433726259,68,81,0.1111111111111111,473,2041
12,0,32,0.09375,61.645017555059056,9.266556016597512,12.726587934886693,13,14,0.21428571428571427,36,241
13,0,200,0.28,64.7932718203465,8.412553165284507,12.98761803103703,76,36,0.1111111111111111,181,1282
14,0,294,0.2108843537414966,54.6626641612073,12.271113184370616,16.188041647168927,80,118,0.059322033898305086,378,2137
15,0,79,0.06329113924050633,60.58921400507492,9.01200990423181,11.682884505197677,38,32,0.0,88,643
16,1,123,0.12195121951219512,67.35451960784314,7.665671023965142,11.479477124183006,60,42,0.11904761904761904,103,918
17,0,27,0.37037037037037035,35.59603571428573,19.42396428571428,22.74142857142857,5,8,0.5,44,224
18,0,58,0.2413793103448276,68.33545454545458,7.968310693138278,11.51445489376524,29,34,0.29411764705882354,71,495
19,0,54,0.07407407407407407,60.451735159817375,10.87260273972603,13.960339204174822,21,13,0.0,54,511
20,0,75,0.22666666666666666,65.16156769055745,9.023221843003416,12.93278725824801,30,34,0.38235294117647056,113,586
21,0,48,0.1875,66.86582111436952,8.13357771260997,11.92492668621701,22,17,0.29411764705882354,52,372
22,1,188,0.11702127659574468,74.58147662369072,6.966665178322263,10.604818515004373,114,38,0.13157894736842105,163,1886
23,0,152,0.21052631578947367,71.13379528703416,8.493559638741825,13.441230294671591,57,61,0.3114754098360656,200,1183
24,0,175,0.24,64.34744163424128,8.844577543079492,14.15219566425792,56,62,0.3064516129032258,181,1028
25,0,54,0.16666666666666666,53.0711206896552,10.488377120963332,15.733004926108373,14,21,0.19047619047619047,35,261
26,0,73,0.0821917808219178,69.8810775556887,8.44621371385001,11.363389793584227,43,17,0.058823529411764705,91,854
27,0,76,0.2894736842105263,71.01977207977208,8.975326422985997,14.027301933684914,27,37,0.35135135135135137,92,611
28,0,117,0.10256410256410256,72.91602257562282,9.63352869217082,16.089101423487545,32,29,0.27586206896551724,87,843
29,0,96,0.11458333333333333,61.50050385418342,9.258048016701462,11.377581499919707,52,26,0.0,118,958
30,0,73,0.136986301369863,45.600782175667575,14.91400188889843,17.668721559199792,19,26,0.11538461538461539,104,613
