,APRexplained,ComplexCount,FinancetoComplex,Flesch,FleschKincaid,FogIndex,SentCount,SuperComplexCount,SuperFinancetoComplex,Terms,WordCount,Category
80,0,27,0.37037037,35.59603571,19.42396429,22.74142857,5,8,0.5,44,224,2
81,0,58,0.24137931,68.33545455,7.968310693,11.51445489,29,34,0.294117647,71,495,2
82,0,54,0.074074074,60.45173516,10.87260274,13.9603392,21,13,0,54,511,2
83,0,75,0.226666667,65.16156769,9.023221843,12.93278726,30,34,0.382352941,113,586,2
84,0,48,0.1875,66.86582111,8.133577713,11.92492669,22,17,0.294117647,52,372,2
85,1,188,0.117021277,74.58147662,6.966665178,10.60481852,114,38,0.131578947,163,1886,2
86,0,152,0.210526316,71.13379529,8.493559639,13.44123029,57,61,0.31147541,200,1183,2
87,0,175,0.24,64.34744163,8.844577543,14.15219566,56,62,0.306451613,181,1028,2
88,0,54,0.166666667,53.07112069,10.48837712,15.73300493,14,21,0.19047619,35,261,2
89,0,73,0.082191781,69.88107756,8.446213714,11.36338979,43,17,0.058823529,91,854,2
90,0,76,0.289473684,71.01977208,8.975326423,14.02730193,27,37,0.351351351,92,611,2
91,0,117,0.102564103,72.91602258,9.633528692,16.08910142,32,29,0.275862069,87,843,2
92,0,96,0.114583333,61.50050385,9.258048017,11.3775815,52,26,0,118,958,2
93,0,73,0.136986301,45.60078218,14.91400189,17.66872156,19,26,0.115384615,104,613,2
