,APRexplained,BadWordCount,Flesch,FleschKincaid,FogIndex,GoodWordCount,Jargon,WordCount
0,0,5,44.28810132158593,16.74942018040696,20.73458359555276,2,3,1362
1,1,1,54.558181818181836,13.84767676767677,18.856565656565657,1,2,792
2,0,3,53.952064220183516,13.470851900393189,17.686500655307995,0,1,436
3,0,1,60.971962853270426,12.93501571206265,16.859478941820193,1,3,1811
4,1,3,65.8975694621283,10.090015703251002,13.882698129756955,3,4,1309
5,0,0,54.22328947368422,12.776461988304096,16.93606237816764,2,1,513
6,0,0,51.70146885483729,14.197657085864538,18.50485084776498,2,4,1345
7,2,0,60.431364174217535,10.895368124654105,14.927101245568494,2,6,3247
8,1,1,51.115533242568645,16.20699115044248,20.57456643651334,3,3,1582
9,0,0,58.361940214326026,10.55681895093063,16.471291596164694,0,0,197
10,0,2,70.78925925925927,8.9367255569746,12.929700581807863,1,4,1944
11,1,0,63.01297262472043,12.028223767383057,15.658484877953905,2,2,791
12,0,1,79.20439925373135,4.708604477611942,10.189154228855722,1,3,201
13,0,2,61.837352941176476,10.667507002801123,15.361344537815127,2,5,1020
14,0,1,67.61214446107788,9.014723053892215,13.97874251497006,1,4,334
15,0,0,63.53281524926689,9.998695014662758,14.421407624633432,3,1,496
16,0,2,67.61815593622825,9.55578979066826,13.620824765329917,2,4,1637
17,0,0,10.564999999999998,14.270000000000007,20.0,0,0,10
18,0,2,56.28208343102776,12.472739742086755,16.226791715513873,3,4,3412
19,0,0,58.0240675301811,12.882926307847082,15.966247484909458,1,1,497
20,0,1,61.594703823652324,9.792998940876412,12.865180051010851,1,2,2393
21,0,0,46.87278250510553,12.120044247787614,16.763104152484683,1,3,565
22,0,0,52.084840827043024,12.250403675746636,17.148539547095506,1,1,277
23,0,0,80.78583333333334,7.995000000000001,13.804597701149426,1,0,290
24,0,0,69.74186727779994,10.90813471502591,15.814746911119968,0,1,386
25,2,2,61.37470951579827,11.607546817629217,15.034813896086355,3,4,3365
