,ComplexCount,FinancetoComplex,Flesch,FleschKincaid,FogIndex,SentCount,Terms,WordCount
0,465,0.12043010752688173,62.01032933971473,8.716432824236172,11.657779648603736,223,433,3686
1,887,0.1488162344983089,61.873842807284035,8.705757916054015,11.996371537676133,398,784,6531
2,1113,0.22731356693620844,63.0852943373674,12.078650829224568,17.25546092932915,291,1194,8924
3,913,0.16210295728368018,67.19268632344335,8.548658840927995,12.737468034630433,372,881,6980
4,913,0.16210295728368018,67.19268632344335,8.548658840927995,12.737468034630433,372,881,6980
5,410,0.11707317073170732,62.554772257938836,8.582384236453205,11.310614232835157,210,393,3422
6,512,0.1796875,62.03809072811727,8.825427198327002,11.776356799581752,242,540,4110
7,874,0.16590389016018306,56.4509134746458,10.524810093409055,13.726265499011584,310,641,6413
8,879,0.16837315130830488,56.638696752096735,10.455302728242739,13.663875233995592,314,647,6441
9,933,0.16291532690246516,56.26167375676138,10.502837423437349,13.732409907858823,329,680,6742
10,936,0.15918803418803418,56.02655134152303,10.618927936179642,13.86217457413321,325,674,6769
11,986,0.1926977687626775,57.2773947432963,10.175320062132112,13.572547416612167,352,864,6950
12,986,0.1926977687626775,57.280973186085106,10.175526702338448,13.572867376832633,352,864,6951
13,424,0.12264150943396226,61.93481792717091,8.678319327731096,11.623369347739095,204,379,3332
14,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
15,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
16,911,0.145993413830955,62.27937485500283,8.613384731382364,11.815018946298567,422,820,6864
17,911,0.145993413830955,62.27937485500283,8.613384731382364,11.815018946298567,422,820,6864
18,1085,0.16497695852534563,50.459002985957625,12.167499304268379,15.44214680899848,309,1042,7396
19,1051,0.1636536631779258,49.61539851779952,12.183790645938874,15.488663737867563,294,949,6917
20,1171,0.1605465414175918,49.46611198118612,12.461279040134503,15.728598373608072,323,1097,7933
21,1479,0.17849898580121704,49.64202477666581,12.473154657032605,16.0382232333934,389,1350,9611
22,415,0.1180722891566265,61.67793343208754,8.74437494682467,11.626059556365846,200,370,3291
23,913,0.16210295728368018,67.19268632344335,8.548658840927995,12.737468034630433,372,881,6980
24,489,0.09815950920245399,61.046156975638155,9.077456905882844,11.873765233002343,229,432,3994
25,987,0.19250253292806485,57.232289543443756,10.182317092210408,13.578621944520737,352,863,6951
26,1110,0.1810810810810811,56.230901386100555,10.409259985012966,13.762502754969967,386,947,7758
27,1101,0.1807447774750227,56.31129348963583,10.391103463478576,13.757351549070165,383,937,7687
28,1102,0.18058076225045372,56.376289566816155,10.373581890109175,13.74372292262369,384,938,7694
29,951,0.1871713985278654,56.12274207190498,10.353356081776461,13.72562447655086,331,770,6558
30,1089,0.18824609733700642,57.530860601327646,10.153042951971887,13.50339711050371,394,994,7800
31,1105,0.18461538461538463,57.234942229832455,10.25104914464946,13.59799004624814,395,1008,7910
32,913,0.16210295728368018,67.19268632344335,8.548658840927995,12.737468034630433,372,881,6980
33,588,0.20238095238095238,54.21854509289949,10.629186651712015,13.350936136070539,219,630,4348
34,594,0.18855218855218855,55.45654844637096,10.435901434662771,13.202487691111688,227,656,4488
35,531,0.17325800376647835,61.52958053483053,8.914773116502108,11.947291347103707,243,546,4145
36,414,0.11835748792270531,61.58677632152245,8.772638122159325,11.645063773384722,199,369,3287
37,793,0.13493064312736444,60.623178992335994,8.988882065421137,12.072591936992062,353,625,5947
38,424,0.12264150943396226,61.71800526539732,8.69151136403929,11.617395312555402,204,377,3318
39,880,0.16818181818181818,55.35561953801732,10.700661341033044,13.958454924606995,300,619,6234
40,872,0.1731651376146789,55.50138837209303,10.645549612403098,13.889074935400519,300,618,6192
41,867,0.16608996539792387,55.26263157490109,10.749758604310188,13.988183423163202,295,610,6173
42,873,0.16953035509736541,55.413708866210584,10.694693192713327,13.95224011570275,298,614,6195
43,714,0.22829131652661064,59.44410341753243,9.470923782746862,12.316685518910141,311,889,5637
44,737,0.22116689280868385,58.88715999544789,9.595438317174981,12.534967297274267,309,875,5659
45,707,0.2248939179632249,59.4204292805523,9.462367882257656,12.293724602769059,309,879,5586
46,730,0.21780821917808219,58.881866073665776,9.591020281745038,12.51669404307841,307,866,5616
47,477,0.12368972746331237,60.04676195921482,9.060410605001803,12.078063655422147,212,417,3564
48,414,0.11835748792270531,61.729346376481345,8.737203874202372,11.613905195989062,200,372,3291
49,996,0.178714859437751,66.79488487645827,8.56513967350573,12.742560954246285,404,995,7517
50,885,0.1638418079096045,56.452182772213945,10.559369806094185,13.778599332338946,312,647,6498
51,468,0.12179487179487179,62.901128828427034,8.600197368421053,11.58218852215284,228,491,3776
52,535,0.17196261682242991,61.09199428562715,9.015546144577701,12.0875153154344,239,527,4115
53,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
54,864,0.14351851851851852,61.16509847231421,8.893615855215494,12.145361618736624,379,737,6355
55,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
56,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
57,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
58,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
59,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
60,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
61,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
62,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
63,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
64,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
65,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
66,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
67,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
68,819,0.15506715506715507,61.95758929565335,8.641495073884219,11.815529675103722,379,753,6139
69,805,0.1565217391304348,62.261833452575246,8.595126232195998,11.723108560592014,379,755,6133
70,804,0.15547263681592038,62.140747419550706,8.60096226906063,11.727157602567438,378,747,6100
